date,region,product,channel,revenue,cost,profit,units_sold
2025-01-01,Central,Sparkling,Retail,2.1,1.25,0.85,420
2025-02-01,Central,Isotonic,Ecom,2.25,1.3,0.95,460
2025-03-01,North,Sparkling,Retail,1.95,1.18,0.77,395
2025-04-01,North,Isotonic,Ecom,2.05,1.22,0.83,410
2025-05-01,South,Sparkling,Retail,1.7,1.05,0.65,350
2025-06-01,South,Isotonic,Ecom,1.85,1.1,0.75,370
2025-07-01,Central,Isotonic,Retail,2.3,1.35,0.95,480
2025-08-01,North,Sparkling,Ecom,2.1,1.25,0.85,440
2025-09-01,South,Isotonic,Retail,1.9,1.15,0.75,405
2025-10-01,Central,Sparkling,Ecom,2.4,1.4,1.0,510
2025-11-01,North,Isotonic,Retail,2.15,1.28,0.87,455
2025-12-01,South,Sparkling,Ecom,1.8,1.08,0.72,365
